sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N07_1_2	Enterococcus_faecium	False	0	11	gyrA,gyrB
N07_1_2	Escherichia_coli	False	0	118	gyrA,gyrB,parC
N07_1_2	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parE
N07_1_2	Klebsiella_pneumoniae	False	0	118	gyrA,gyrB
N07_1_2	Pseudomonas_aeruginosa	False	0	579	gyrA,gyrB,parC,parE
N07_1_2	Staphylococcus_aureus	True	3	352	gyrA,gyrB,parC,parE
N07_1_2	Streptococcus_mitis	False	0	0	gyrA,gyrB
N07_1_2	Streptococcus_oralis	False	0	356	gyrA,gyrB,parE
N07_1_2	Streptococcus_pneumoniae	False	0	198	gyrA,gyrB
N07_1_3	Enterococcus_faecalis	True	1	29	gyrA,gyrB,parC,parE
N07_1_3	Enterococcus_faecium	True	1	29	gyrA,gyrB,parC,parE
N07_1_3	Escherichia_coli	False	0	18	gyrA,gyrB,parE
N07_1_3	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parE
N07_1_3	Klebsiella_pneumoniae	False	0	18	gyrA,gyrB,parE
N07_1_3	Pseudomonas_aeruginosa	False	0	92	gyrA,gyrB,parC,parE
N07_1_3	Staphylococcus_aureus	True	26	256	gyrA,gyrB,parC,parE
N07_1_3	Streptococcus_mitis	False	0	10	gyrA,gyrB,parC,parE
N07_1_3	Streptococcus_oralis	False	0	88	gyrA,gyrB,parC,parE
N07_1_3	Streptococcus_pneumoniae	False	0	60	gyrA,gyrB,parC,parE
N07_1_4	Enterococcus_faecalis	True	1	312	gyrA,gyrB,parC,parE
N07_1_4	Enterococcus_faecium	True	1	1420	gyrA,gyrB,parC,parE
N07_1_4	Escherichia_coli	False	0	16	gyrA,gyrB,parE
N07_1_4	Klebsiella_oxytoca	False	0	0	gyrA,gyrB,parE
N07_1_4	Klebsiella_pneumoniae	False	0	9	gyrA,gyrB,parE
N07_1_4	Pseudomonas_aeruginosa	False	0	110	gyrA,gyrB,parE
N07_1_4	Staphylococcus_aureus	True	48	291	gyrA,gyrB,parC,parE
N07_1_4	Streptococcus_mitis	False	0	376	gyrA,gyrB,parC,parE
N07_1_4	Streptococcus_oralis	False	0	688	gyrA,gyrB,parC,parE
