sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N19_1_2	intrinsic	14.6595	1	N19	UCMC	Axilla	Week.1
N19_1_2	acquired	10666.993958	41	N19	UCMC	Axilla	Week.1
N19_1_2	unknown	240.494354	7	N19	UCMC	Axilla	Week.1
N19_1_3	intrinsic	275.09649	13	N19	UCMC	Groin	Week.1
N19_1_3	acquired	1768.50562	62	N19	UCMC	Groin	Week.1
N19_1_3	unknown	624.208972	41	N19	UCMC	Groin	Week.1
N19_1_4	intrinsic	736.2801099999999	13	N19	UCMC	Stool	Week.1
N19_1_4	acquired	4944.448679	61	N19	UCMC	Stool	Week.1
N19_1_4	unknown	1624.925588	54	N19	UCMC	Stool	Week.1
N19_2_3	intrinsic	35.529363000000004	2	N19	UCMC	Groin	Week.3
N19_2_3	acquired	5006.17709	62	N19	UCMC	Groin	Week.3
N19_2_3	unknown	463.454633	27	N19	UCMC	Groin	Week.3
N19_2_4	intrinsic	300.59484	15	N19	UCMC	Stool	Week.3
N19_2_4	acquired	3470.91597	51	N19	UCMC	Stool	Week.3
N19_2_4	unknown	692.00335	46	N19	UCMC	Stool	Week.3
N19_2_2	intrinsic	7.88867	1	N19	UCMC	Axilla	Week.3
N19_2_2	acquired	4104.540895	34	N19	UCMC	Axilla	Week.3
N19_2_2	unknown	40.412668	3	N19	UCMC	Axilla	Week.3
N20_1_2	intrinsic	0.0	0	N20	UCMC	Axilla	Week.1
N20_1_2	acquired	222.772503	13	N20	UCMC	Axilla	Week.1
N20_1_2	unknown	0.0	0	N20	UCMC	Axilla	Week.1
N20_1_4	intrinsic	97.4219	1	N20	UCMC	Stool	Week.1
N20_1_4	acquired	12651.623485	37	N20	UCMC	Stool	Week.1
N20_1_4	unknown	2198.59903	9	N20	UCMC	Stool	Week.1
N20_2_2	intrinsic	1.37876	1	N20	UCMC	Axilla	Week.3
N20_2_2	acquired	2289.302752	28	N20	UCMC	Axilla	Week.3
N20_2_2	unknown	14.7003	2	N20	UCMC	Axilla	Week.3
N20_2_3	intrinsic	0.0	0	N20	UCMC	Groin	Week.3
N20_2_3	acquired	0.0	0	N20	UCMC	Groin	Week.3
N20_2_3	unknown	0.0	0	N20	UCMC	Groin	Week.3
