sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
ZJH_N8_2_2	0.0	0.0	0.0	1316.0582	0.0	1348.39592	256.389	0.0	0.0	0.0	0.0
ZJH_N8_2_3	0.0	0.0	0.0	97.27328	0.0	638.36288	19.899169999999998	0.0	0.0	0.0	0.0
ZJH_N8_2_4	0.0	0.0	1280.9375	48.831343	0.0	140.842604	101.119282	0.0	22.550224	0.0	0.0
ZJH_N9_1_2	0.0	0.0	0.0	0.0	0.0	24.70473	0.0	0.0	0.0	0.0	0.0
ZJH_N9_1_3	0.0	0.0	0.0	0.0	0.0	24.9226414	0.0	0.0	0.0	0.0	0.0
ZJH_N9_2_2	0.0	0.0	431.8512	72.50127499999999	0.0	6987.9531799999995	3.92157	0.0	4.44764	0.0	0.0
ZJH_N9_2_4	0.0	21.77798	0.0	85.3833	230.5009	555.38591	884.761	38.1444	9.94008	0.0	0.0
ZJH_N10_1_2	0.0	0.0	0.0	3.6463050000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N10_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N10_2_2	26.777672	0.0	108.44959	218.98178	0.0	11927.22681	6.79359	86.58115	2.33065	0.0	0.0
ZJH_N10_2_3	653.4662	39.988617	0.0	903.54	189.01850000000002	473.80707	710.4352	515.5921999999999	137.8736	0.0	0.0
ZJH_N10_2_4	746.612	17.51322	0.0	409.63463	200.6398	459.805	472.0672	277.5377	69.62337	0.0	0.0
ZJH_N11_1_2	0.0	0.0	20.90216	0.0	0.0	25.77084	0.280395	0.0	0.305886	0.0	0.0
ZJH_N11_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N11_1_4	22.285969	4.117633	0.0	2.224693	2.302756	5.81542	3.43462	0.0	0.0	0.0	0.0
ZJH_N11_2_2	0.0	0.0	195.6257	53.280487	0.0	1858.84571	13.85665	0.0	5.55199	0.0	0.0
ZJH_N11_2_3	0.0	0.0	20.849400000000003	0.0	0.0	323.50199999999995	0.672561	0.0	0.0	0.0	0.0
ZJH_N11_2_4	0.0	0.0	2440.741	600.05473	0.0	13243.575708	41.6697	0.0	27.2626	0.0	0.0
ZJH_N12_1_2	0.0	0.0	58.7652	4231.09725	0.0	923.2449	17.21672	2098.5065	12.64902	0.0	0.0
ZJH_N12_1_3	1244.52243	622.33411	0.0	17.95756	14.84295	41.998400000000004	20.68283	5.888529999999999	0.0	0.0	0.0
ZJH_N12_1_4	17404.81656	7497.088896	0.0	244.5755	218.11310000000003	555.27	239.4	93.13550000000001	0.0	0.0	0.0
ZJH_N12_2_2	68.785524	3.6038	0.0	3.3165359999999997	2.350302	312.146345	1.932475	0.678976	0.0	0.0	0.0
ZJH_N12_2_4	3999.93304	790.465097	0.0	187.11265500000002	240.327	590.6179890000001	304.06841000000003	78.31309999999999	0.0	0.0	0.0
ZJH_N13_1_2	0.0	0.0	121.16038999999999	0.0	0.0	991.6255	3.03452	0.0	2.81383	0.0	0.0
ZJH_N13_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N13_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N13_2_2	173.54072	3.50687	0.0	110.219435	14.718969999999999	366.22127	68.951991	71.841513	10.989835	0.0	0.0
ZJH_N13_2_3	0.0	0.0	0.0	0.275966	0.0	12.630746	0.0	0.0	0.0	0.0	0.0
ZJH_N13_2_4	233.82984	28.177	0.0	606.82637	72.5728	177.77426	412.093289	315.6284	103.90048	0.0	0.0
ZJH_N14_1_2	0.0	0.0	0.0	25.266614999999998	0.0	150.83530000000002	0.0	0.0	0.0	0.0	0.0
ZJH_N14_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZJH_N14_1_4	3.28698	0.0	636.9239	384.082097	2.361522	250.018141	17.296527	26.87026	0.351036	0.0	0.0
ZJH_N14_2_2	2240.66921	868.8512000000001	105.78945	777.25632	119.6927	1920.0226	148.0803	244.94677000000001	1.9506100000000002	0.0	0.0
ZJH_N14_2_3	237.41596	57.23105	0.0	785.244785	14.03535	1073.61203	126.510728	2192.53337	1266.7095	0.0	0.0
ZJH_N14_2_4	4708.4137	1391.9039	0.0	213.089703	228.8933	531.502343	330.729481	79.3783	0.977839	0.0	0.0
ZJH_N15_1_2	9.727935	0.0	0.0	0.0	0.0	185.78896	0.0	0.0	0.0	0.0	0.0
ZJH_N15_1_4	0.0	0.0	343.9092	187.94721	0.0	457.655422	1869.19882	0.0	41.15639	0.0	0.0
ZJH_N16_1_2	0.0	0.0	0.0	20.98352	0.0	330.1341	0.0	0.0	0.0	0.0	0.0
ZJH_N16_1_3	0.0	0.0	0.0	0.0	0.0	300.45641	0.0	0.0	0.0	0.0	0.0
ZJH_N16_2_2	11.194379	0.0	487.13019999999995	159.230955	8.985612	1742.20161	49.646699999999996	100.29745	8.584013	0.0	0.0
