Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(SampleCollectionWeek)[T.Week.3]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.05698105203293197,0.026922606677375234,0.03490048036921341,True,Interaction,SampleCollectionWeek,MaternalAntibiotics
C(AnyMilk)[T.Mother]:C(PICC)[T.peripheral_UE],-0.3269429463862265,0.1605303294519425,0.04232162529461147,True,Interaction,AnyMilk,PICC
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.2143803202085296,0.10693705852237642,0.045642182306296054,True,Interaction,PostNatalAbxCohort,MaternalAntibiotics
C(SampleType)[T.Stool]:C(SampleCollectionWeek)[T.Week.3],0.04451671599160779,0.02233017851496148,0.04685505895866871,True,Interaction,SampleType,SampleCollectionWeek
C(GestationCohort)[T.28-32 Weeks]:C(AnyMilk)[T.No.Milk],-0.27903119657819186,0.1419386830172668,0.049982985000608875,True,Interaction,GestationCohort,AnyMilk
C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.291603124920919,0.15021679977874355,0.05291044709598101,False,Main,,
C(PICC)[T.PICC_LE]:C(Delivery)[T.Vaginal],0.46332535607244296,0.2461202380464102,0.06046698566996622,False,Interaction,PICC,Delivery
C(GestationCohort)[T.28-32 Weeks]:C(PICC)[T.PICC_LE],-0.3737476548794606,0.19974072228485923,0.06202745163437216,False,Interaction,GestationCohort,PICC
C(AnyMilk)[T.No.Milk],-0.1711650441327442,0.09375733293655833,0.06862810924071223,False,Main,,
C(SampleType)[T.Stool]:C(PICC)[T.PICC_UE],0.05989680165186724,0.03316794738576042,0.07166577057017555,False,Interaction,SampleType,PICC
C(Location)[T.Hangzhou]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.1120302932883002,0.06223616185850888,0.07257528998076873,False,Interaction,Location,PostNatalAbxCohort
C(SampleType)[T.Stool]:C(PICC)[T.PICC_LE],0.07005223426206783,0.03922414672925963,0.0748396728880127,False,Interaction,SampleType,PICC
C(GestationCohort)[T.33-36 Weeks]:C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.13725666081128196,0.07689204241790172,0.07498412932851505,False,Interaction,GestationCohort,PostNatalAbxCohort
C(SampleType)[T.Stool]:C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.0674775114759388,0.03797002570548581,0.07628167533165219,False,Interaction,SampleType,PostNatalAbxCohort
